,order quantity,SPEC_1st_N,SPEC_1st_L1,SPEC_1st_L2,SPEC_1st_L3,SPEC_2nd_L1,SPEC_2nd_L2,SPEC_2nd_L3,Customer,By_way,Types,Ap_outer_r,Ap_L,cen_outter_r,cen_L,cen_material,Shell_outer_r_1,Shell_outer_r_2,shell_L,shell_material,Human_Hrs,Material_Cost
717,4.0,375.0,B,X,S,C,N,R,KJLC,OTHERS,國外代理商,69.74,161.93,10.0,161.93,SUS420,69.47,0.0,82.55,AL6061,955.0,9556.0
718,6.0,12.0,A,F,S,C,N,R,優貝克,DISPLAY,國外設備商,94.0,102.0,15.0,102.0,SUS420,94.0,0.0,50.0,SUS304,543.0,11008.0
719,2.0,10.0,A,F,M,C,N,R,優貝克,DISPLAY,國外設備商,95.0,97.0,20.0,97.0,SUS420,95.0,0.0,82.0,SUS304,1063.0,21961.0
720,8.0,1500.0,B,C,H,C,N,N,漢辰,SEMI,國內設備商,75.0,90.0,50.0,90.0,SUS420,75.0,0.0,90.0,SUS304,746.0,16127.0
721,1.0,250.0,B,G,S,C,N,R,KJLC,OTHERS,國外代理商,69.3,103.1,10.0,103.1,SUS420,69.3,0.0,65.0,SUS304,523.0,6037.0
722,3.0,500.0,B,N,S,C,N,R,KJLC,OTHERS,國外代理商,72.6,223.8,15.0,223.8,SUS420,72.6,0.0,128.8,SUS304,621.0,15976.0
723,1.0,750.0,B,F,M,C,N,R,KJLC,OTHERS,國外代理商,152.4,153.2,20.0,153.2,SUS420,152.4,0.0,90.5,SUS304,1064.0,15881.0
724,1.0,250.0,B,B,S,C,N,R,KJLC,OTHERS,國外代理商,53.8,100.8,10.0,100.8,SUS420,53.8,0.0,62.7,SUS304,530.0,6474.0
725,5.0,20.0,A,F,S,C,N,R,巨孚,INDUSTRIAL,國內設備商,105.0,162.4,24.0,162.4,SUS420,105.0,0.0,92.4,SUS304,664.0,12513.0
726,66.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
727,1.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
728,1.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
729,2.0,375.0,B,B,S,C,N,R,UMC 8AB,SEMI,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
730,4.0,250.0,B,S,S,C,N,R,KJLC,OTHERS,國外代理商,19.1,87.3,6.35,87.3,SUS420,19.1,0.0,49.2,SUS304,640.0,8406.0
731,3.0,250.0,B,G,S,C,N,R,KJLC,OTHERS,國外代理商,69.3,103.1,10.0,103.1,SUS420,69.3,0.0,65.0,SUS304,523.0,6037.0
732,10.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
733,10.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
734,1.0,375.0,B,B,S,C,N,R,加高,OTHERS,國內終端,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
735,6.0,375.0,B,B,S,C,N,R,KJLC,OTHERS,國外代理商,38.1,86.106,10.0,86.106,SUS420,38.1,0.0,41.91,SUS304,868.0,7543.0
736,3.0,250.0,B,B,S,C,N,R,KJLC,OTHERS,國外代理商,53.8,100.8,10.0,100.8,SUS420,53.8,0.0,62.7,SUS304,530.0,6474.0
737,11.0,250.0,B,B,S,C,N,R,KJLC,OTHERS,國外代理商,41.3,87.3,10.0,87.3,SUS420,41.3,0.0,49.0,SUS304,390.0,4800.0
738,2.0,65.0,A,X,S,C,N,R,INX-8,DISPLAY,國內終端,194.0,211.6,65.0,211.6,SUS420,194.0,0.0,107.5,SUS304,644.0,53948.0
739,1.0,500.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,50.8,81.7,20.0,71.7,SUS420,50.8,0.0,69.9,SUS304,1461.0,16690.0
740,6.0,375.0,B,B,S,C,N,R,亮傑,SEMI,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
741,2.0,625.0,X,X,S,A,N,H,聯穎光電,LED,國內終端,76.2,204.0,44.0,204.0,SUS420,76.2,0.0,87.5,AL6061,934.0,20717.0
742,6.0,12.0,A,F,S,C,N,R,優貝克,DISPLAY,國外設備商,94.0,102.0,15.0,102.0,SUS420,94.0,0.0,50.0,SUS304,543.0,11008.0
743,2.0,10.0,A,F,M,C,N,R,優貝克,DISPLAY,國外設備商,95.0,97.0,20.0,97.0,SUS420,95.0,0.0,82.0,SUS304,1063.0,21961.0
744,39.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
745,4.0,10.0,A,F,S,C,N,R,凌嘉,DISPLAY,國內設備商,80.0,119.5,12.0,119.5,SUS420,80.0,0.0,69.5,SUS304,372.0,4498.0
746,5.0,375.0,B,B,S,C,N,R,聚昌,LED,國內設備商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
748,20.0,2000.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,95.19,100.7,60.5,100.7,SUS420,95.19,0.0,82.6,SUS304,412.0,10261.0
749,2.0,375.0,B,B,S,C,N,R,竑新,OTHERS,國內代理商,41.0,86.5,10.0,86.5,SUS420,41.0,0.0,42.0,SUS304,286.0,4018.0
750,1.0,6.0,A,X,S,C,N,R,TSMC-8,SEMI,國內終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
751,1.0,6.0,A,X,S,C,N,R,TSMC-8,SEMI,國內終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
752,1.0,6.0,A,X,S,C,N,R,TSMC-8,SEMI,國內終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
753,1.0,6.0,A,X,S,C,N,R,TSMC-8,SEMI,國內終端,52.0,91.0,6.0,91.0,SUS420,52.0,0.0,25.0,SUS304,962.0,6888.0
754,2.0,250.0,B,B,S,C,N,R,KJLC,OTHERS,國外代理商,41.3,87.3,10.0,87.3,SUS420,41.3,0.0,49.0,SUS304,390.0,4800.0
755,2.0,1000.0,B,C,M,C,N,R,KJLC,OTHERS,國外代理商,66.61,84.81,33.0,84.81,SUS420,66.61,0.0,69.85,SUS304,882.0,10136.0
756,2.0,12.0,A,K,S,C,M,R,KJLC,OTHERS,國外代理商,55.0,150.0,15.0,150.0,SUS420,55.0,0.0,86.0,SUS304,875.0,8652.0
757,2.0,375.0,B,G,S,W,N,R,KJLC,OTHERS,國外代理商,69.3,115.8,10.0,115.8,SUS420,69.3,0.0,77.7,SUS304,659.0,8102.0
758,1.0,750.0,B,F,M,C,N,R,KJLC,OTHERS,國外代理商,152.4,153.2,20.0,153.2,SUS420,152.4,0.0,90.5,SUS304,1064.0,15881.0
759,1.0,20.0,A,F,S,C,N,R,KJLC,OTHERS,國外代理商,105.0,151.5,25.0,151.5,SUS420,105.0,0.0,81.5,SUS304,646.0,7955.0
760,1.0,30.0,X,X,S,C,M,R,捷永國際,DISPLAY,國內代理商,142.0,302.0,54.9,302.0,SUS420,142.0,0.0,165.0,SUS304,779.0,21921.0
761,1.0,30.0,X,X,S,C,N,R,捷永國際,DISPLAY,國內代理商,142.0,172.0,57.0,172.0,SUS420,142.0,0.0,77.5,SUS304,686.0,17743.0
762,4.0,5.0,A,B,S,C,N,R,VPC,OTHERS,國外代理商,28.0,62.0,5.0,62.0,SUS630,28.0,0.0,32.0,SUS304,427.0,11308.0
763,1.0,5.0,A,B,S,C,N,R,VPC,OTHERS,國外代理商,28.0,62.0,5.0,62.0,SUS630,28.0,0.0,32.0,SUS304,427.0,11308.0
764,5.0,30.0,X,X,S,W,M,R,AMAT,DISPLAY,國內設備商,128.0,180.5,54.9,180.5,SUS420,128.0,0.0,121.0,SUS304,455.0,16083.0
765,1.0,30.0,A,X,S,W,M,R,AMAT,DISPLAY,國內設備商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,0.0,0.0
766,1.0,30.0,A,X,S,W,M,R,AMAT,DISPLAY,國內設備商,138.0,231.0,54.9,231.0,SUS420,138.0,0.0,127.0,SUS304,587.0,18179.0
767,1.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
832,2.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
833,1.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
834,1.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
835,1.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
836,1.0,40.0,A,X,S,C,N,R,AMAT,DISPLAY,國內設備商,170.0,241.0,70.0,241.0,SUS420,170.0,0.0,127.0,SUS304,1070.0,26935.0
